,gen,ref_consol,fun_consol,fun_consol
309,Candidatus Blackburnbacteria,"(Antharaman et al., 2016)",aerobic_chemoheterotrophy,aerobic
310,Candidatus Brennerbacteria,"(Antharaman et al., 2016)",aerobic_chemoheterotrophy,aerobic
311,Candidatus Brocadia,,anammox,Ammox
411,Candidatus Brocadia,"(Gonella et al., 2011)",anammox,Ammox
312,Candidatus Buchananbacteria,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
313,Candidatus Campbellbacteria,"(Antharaman et al., 2016)",S_cycle aerobic     ,
314,Candidatus Chisholmbacteria,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
315,Candidatus Coatesbacteria,"(Antharaman et al., 2016)",H2_ox,
316,Candidatus Collierbacteria,"(Antharaman et al., 2016)",C_cycle N_fix S_cycle H2_ox H2_prod C1_ox aerobic           ,
317,Candidatus Colwellbacteria,"(Antharaman et al., 2016)",aerobic_chemoheterotrophy,aerobic
318,Candidatus Curtissbacteria,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
319,Candidatus Dadabacteria,"(Antharaman et al., 2016)",N_cycle S_cycle Fe_Cycle H2_prod aerobic           ,
320,Candidatus Daviesbacteria,"(Antharaman et al., 2016)",N_fix aerobic              ,
321,Candidatus Delongbacteria,"(Antharaman et al., 2016)",H2_prod,
322,Candidatus Diapherotrites_phylum,0,varied_archaea,
323,Candidatus Doudnabacteria,"(Antharaman et al., 2016)",N_cycle aerobic              ,
324,Candidatus Edwardsbacteria,"(Antharaman et al., 2016)",H2_ox,H2_prod
325,Candidatus Eisenbacteria,"(Antharaman et al., 2016)",N_cycle S_cycle Fe_Cycle H2_prod C1_ox aerobic          ,
326,Candidatus Falkowbacteria,"(Antharaman et al., 2016)",C_cycle S_cycle H2_ox H2_prod aerobic             ,
327,Candidatus Firestonebacteria,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
328,Candidatus Fischerbacteria,"(Antharaman et al., 2016)",S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic ,
329,Candidatus Fraserbacteria,"(Antharaman et al., 2016)",C_cycle N_cycle S_cycle H2_ox H2_prod aerobic            ,
330,Candidatus Giovannonibacteria,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
331,Candidatus Glassbacteria,"(Antharaman et al., 2016)",N_cycle S_cycle H2_ox H2_prod C1_ox aerobic          ,
332,Candidatus Gottesmanbacteria,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
333,Candidatus Handelsmanbacteria,"(Antharaman et al., 2016)",N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic         ,
334,Candidatus Harrisonbacteria,"(Antharaman et al., 2016)",aerobic_chemoheterotrophy,aerobic
335,Candidatus Jacksonbacteria,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
336,Candidatus Jettenia,,anammox,Ammox
337,Candidatus Jorgensenbacteria,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
338,Candidatus Kaiserbacteria,"(Antharaman et al., 2016)",N_fix N_cycle S_cycle H2_prod aerobic           ,
339,Candidatus Kerfeldbacteria,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
340,Candidatus Komeilibacteria,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
341,Candidatus koribacter,,denitrification,
412,Candidatus Koribacter,,denitrification,
342,Candidatus Kuenenbacteria,"(Antharaman et al., 2016)",C_cycle H2_prod aerobic               ,
343,Candidatus Kuenenia,,anammox,Ammox
344,Candidatus Lambdaproteobacteria,"(Antharaman et al., 2016)",N_cycle S_cycle H2_ox aerobic            ,
345,Candidatus Levybacteria,"(Antharaman et al., 2016)",C_cycle S_cycle H2_ox H2_prod aerobic             ,
346,Candidatus Lindowbacteria,"(Antharaman et al., 2016)",N_cycle S_cycle Fe_Cycle H2_ox H2_prod aerobic          ,
347,Candidatus Liptonbacteria,"(Antharaman et al., 2016)",N_cycle aerobic              ,
348,Candidatus Lloydbacteria,"(Antharaman et al., 2016)",N_cycle S_cycle H2_ox H2_prod aerobic           ,
349,Candidatus Magasanikbacteria,"(Antharaman et al., 2016)",N_fix N_cycle S_cycle H2_ox H2_prod aerobic          ,
350,Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_02_FULL_50_9b,,CPR-OD1,CPR-OD1
351,Candidatus Margulisbacteria,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod C1_ox aerobic  ,
352,Candidatus Melainabacteria,"(Antharaman et al., 2016)",N_cycle S_cycle H2_prod aerobic            ,
353,Candidatus metachlamydia,,non-N,              
413,Candidatus Methanoregula,"(Br_uer et al., 2011)",methanogen,
354,Candidatus Methylomirabilis,"(Graf et al., 2014)",nirS norB              ,
355,Candidatus Micrarchaeota,"(Antharaman et al., 2016)",C_cycle S_cycle H2_ox H2_prod aerobic             ,
356,Candidatus Microthrix,"(Graf et al., 2014)",nirK               ,
357,Candidatus Moranbacteria,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
358,Candidatus Muproteobacteria,"(Antharaman et al., 2016)",C_cycle N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic          ,
359,Candidatus Nealsonbacteria,"(Antharaman et al., 2016)",H2_prod,
360,Candidatus nitrosoarchaeum,"(Lehtovirta-Morley et al., 2011) (Graf et al., 2014) ",ammonia_oxidation,Ammonia
361,Candidatus nitrosocaldus,"(De la Torre et al., 2008)",ammonia_oxidation,Ammonia
414,Candidatus Nitrosocosmicus,,ammonia_oxidation,Ammonia
362,Candidatus Nitrosopumilus,"(Graf et al., 2014)",nirK               ,
363,Candidatus Nitrososphaera,"(Graf et al., 2014)",ammonia_oxidation,Ammonia
415,Candidatus Nitrososphaera,,ammonia_oxidation,Ammonia
364,Candidatus nitrosotalea,"(Lehtovirta-Morley et al., 2011)",ammonia_oxidation,Ammonia
365,Candidatus Nitrosotenuis,"{Li, Y., et al. (2016)}",ammonia_oxidation,Ammonia
366,Candidatus Nitrospira,"(Graf et al., 2014)",nirK               ,
367,Candidatus nitrotoga,"(Alawi et al., 2007)",nitrite_oxidation,
368,Candidatus Niyogibacteria,"(Antharaman et al., 2016)",N_cycle S_cycle aerobic             ,
369,Candidatus Nomurabacteria,"(Antharaman et al., 2016)",N_fix N_cycle S_cycle H2_prod aerobic           ,
370,Candidatus Omnitrophus,"{Kolinko, S., et al. (2016)}",Magnetatactic+,
371,Candidatus Pacearchaeota,"(Antharaman et al., 2016)",C_cycle N_fix S_cycle H2_ox H2_prod aerobic            ,
372,Candidatus Pacearchaeota_phylum,0,varied_archaea,
373,Candidatus Pacebacteria,"(Antharaman et al., 2016)",aerobic_chemoheterotrophy,aerobic
374,Candidatus Peregrinibacteria,"(Antharaman et al., 2016)",C_cycle N_fix S_cycle H2_prod aerobic             ,
375,Candidatus Peribacteria,"(Antharaman et al., 2016)",N_cycle C1_ox aerobic             ,
376,Candidatus Phytoplasma,,non-N,              
377,Candidatus planktophila,"(Jezbera et al., 2009)",non-N,              
378,Candidatus Portnoybacteria,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
379,Candidatus protistobacter,"(Vannini et al., 2013)",non-N,              
380,Candidatus protochlamydia,"(Collingro et al., 2005)",non-N,              
416,Candidatus Protochlamydia,"(Br_uer et al., 2011)",non-N,              
381,Candidatus rhabdochlamydia,"(Kostanjsek et al., 2004)",non-N,              
417,Candidatus Rhabdochlamydia,"(Br_uer et al., 2011)",non-N,              
1866,Candidatus Riegeria,"(Gruber-Vodicka et al., 2011)",intracellular_parasites,
382,Candidatus Riflebacteria,"(Antharaman et al., 2016)",C_cycle S_cycle H2_prod C1_ox aerobic             ,
383,Candidatus Roizmanbacteria,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
384,Candidatus Rokubacteria,"(Antharaman et al., 2016)",N_fix N_cycle S_cycle Fe_Cycle H2_prod C1_ox aerobic         ,
385,Candidatus Ryanbacteria,"(Antharaman et al., 2016)",N_cycle S_cycle H2_prod aerobic            ,
386,Candidatus Saccharibacteria,"(Antharaman et al., 2016)",N_cycle aerobic              ,
387,Candidatus Saccharimonas,"(Kindaichi et al., 2016)",denitrification,
388,Candidatus Schekmanbacteria,"(Antharaman et al., 2016)",N_cycle S_cycle Fe_Cycle H2_prod C1_ox aerobic          ,
389,Candidatus Shapirobacteria,"(Antharaman et al., 2016)",aerobic_chemoheterotrophy,aerobic
390,Candidatus solibacter,"(Kindaichi et al., 2016)",denitrification,
418,Candidatus Solibacter,,denitrification,
391,Candidatus Spechtbacteria,"(Antharaman et al., 2016)",N_cycle aerobic              ,
392,Candidatus Staskawiczbacteria,"(Antharaman et al., 2016)",H2_prod,
393,Candidatus Sungbacteria,"(Antharaman et al., 2016)",N_fix N_cycle S_cycle H2_ox H2_prod aerobic          ,
394,Candidatus Tagabacteria,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
395,Candidatus Taylorbacteria,"(Antharaman et al., 2016)",H2_prod,
396,Candidatus Tectomicrobia,"(Antharaman et al., 2016)",N_cycle S_cycle Fe_Cycle C1_ox aerobic           ,
397,Candidatus Terrybacteria,"(Antharaman et al., 2016)",N_cycle aerobic              ,
398,Candidatus Uhrbacteria,"(Antharaman et al., 2016)",N_cycle S_cycle H2_ox H2_prod aerobic           ,
399,Candidatus Veblenbacteria,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
400,Candidatus vidania,"(Gonella et al., 2011)",non-N,              
401,Candidatus Vogelbacteria,"(Antharaman et al., 2016)",S_cycle aerobic     ,
402,Candidatus Wallbacteria,"(Antharaman et al., 2016)",N_cycle H2_prod aerobic             ,
403,Candidatus Wildermuthbacteria,"(Antharaman et al., 2016)",H2_prod,
404,Candidatus Woesearchaeota,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
405,Candidatus Woesebacteria,"(Antharaman et al., 2016)",S_cycle aerobic     ,
406,Candidatus Wolfebacteria,"(Antharaman et al., 2016)",N_cycle S_cycle aerobic             ,
407,Candidatus Woykebacteria,"(Antharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,
419,Candidatus Xiphinematobacter,"(Vandekerckhove et al., 2002)",non-N,              
408,Candidatus Yanofskybacteria,"(Antharaman et al., 2016)",N_cycle S_cycle H2_ox H2_prod C1_ox aerobic          ,
409,Candidatus Yonathbacteria,"(Antharaman et al., 2016)",N_cycle aerobic              ,
410,Candidatus Zambryskibacteria,"(Antharaman et al., 2016)",N_cycle S_cycle aerobic             ,
420,Capnocytophaga,"(Graf et al., 2014)",nirK norB nosZ             ,
421,Carboxydothermus,FAPROTAXv1.1,H_ox,#REF!
422,Cardiobacteriaceae,FAPROTAXv1.1,fermentation,
423,Cardiobacterium,"(Graf et al., 2014)",nirK norB nosZ             ,
424,Carnobacteriaceae,FAPROTAXv1.1,fermentation,
425,Carnobacterium,FAPROTAXv1.1,fermentation,
426,Catellatospora,FAPROTAXv1.1,aerobic_chemoheterotrophy,
427,Catellicoccus,FAPROTAXv1.1,gut,
428,Catenococcus,FAPROTAXv1.1,thiosulfate_oxidation,
429,Catenulispora,FAPROTAXv1.1,denitrification,
430,Catenuloplanes,FAPROTAXv1.1,ureolysis,
431,Caulobacter,"(MacRae and Smit, 1991) (Graf et al., 2014), FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy              
432,Caulobacterales,"(Antharaman et al., 2016)",N_cycle S_cycle C1_ox aerobic            ,
433,Cecembia,"(Graf et al., 2014)",nirK norB nosZ             ,
434,Celeribacter,"(Graf et al., 2014), FAPROTAXv1.1",nirK norB nosZ aerobic_chemoheterotrophy aromatic_hydrocarbon_degradation fermentation nitrate_respiration ureolysis        ,
435,Cellulomonadaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,fermentation
436,Cellulomonas,"(Bagra et al., 1985) (Graf et al., 2014), FAPROTAXv1.1",cellulolysis,"chitinolysis, fermentation, Fe, N, urea"
437,Cellulophaga,"(Graf et al., 2014), FAPROTAXv1.1",norB nosZ nitrate_reduction ureolysis           ,
438,Cellulosimicrobium,FAPROTAXv1.1,cellulolysis,"fermentation, N, urea"
439,Cellvibrio,"(Graf et al., 2014), FAPROTAXv1.1",nirK aerobic_chemoheterotrophy cellulolysis nitrogen_fixation            ,
440,Cenarchaeum,"(Hallam et al., 2006), FAPROTAXv1.1",ammonia_oxidation,Ammonia
441,Cenibacterium,FAPROTAXv1.1,arsenite_oxidation_detoxification,                
442,Centipeda,FAPROTAXv1.1,denitrification,
443,Cetia,FAPROTAXv1.1,H_ox,#REF!
444,Cetobacterium,FAPROTAXv1.1,fermentation,N
445,Chaetomium,"(Graf et al., 2014)",nirK norB              ,
446,Chelatococcus,"(Graf et al., 2014)",nirK norB nosZ             ,
447,Chitinibacter,FAPROTAXv1.1,chitinolysis,
448,Chitinilyticum,FAPROTAXv1.1,chitinolysis,
449,Chitinivibrio,FAPROTAXv1.1,chitinolysis,fermentation
450,Chitinolyticbacter,FAPROTAXv1.1,chitinolysis,
451,Chitinophaga,"(SANGKHOBOL and Skerman, 1981), FAPROTAXv1.1",non-N,cellulolysis chitinolysis nitrate_reduction ureolysis           
452,Chitinophagaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
453,Chlamydia,"(Collingro et al., 2005), FAPROTAXv1.1",non-N,human_pathogens_all              
454,Chlamydiae,"(Antharaman et al., 2016), FAPROTAXv1.1",S_cycle H2_ox H2_prod aerobic intracellular_parasites  ,
455,Chloracidobacterium,FAPROTAXv1.1,photoheterotrophy,
456,Chlorobaculum,FAPROTAXv1.1,anoxygenic_photoautotrophy_S_oxidizing,dark_sulfide_oxidation                
457,Chlorobi,FAPROTAXv1.1,anoxygenic_photoautotrophy,anoxygenic_photoautotrophy_S_oxidizing                
458,Chlorobium,FAPROTAXv1.1,anoxygenic_photoautotrophy_Fe_oxidizing,anoxygenic_photoautotrophy_S_oxidizing dark_iron_oxidation nitrogen_fixation              
459,Chloroflexi,"(Antharaman et al., 2016)",C_cycle N_fix N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic         ,
460,Chloroflexus,"(Graf et al., 2014), FAPROTAXv1.1",nirK aerobic_anoxygenic_phototrophy aerobic_chemoheterotrophy anoxygenic_photoautotrophy_S_oxidizing            ,
461,Chloroherpeton,FAPROTAXv1.1,anoxygenic_photoautotrophy_S_oxidizing,                
462,chloroplast,FAPROTAXv1.1,chloroplast,chloroplasts
463,Chlorosi,FAPROTAXv1.1,anoxygenic_photoautotrophy_S_oxidizing,                
464,Chondromyces,FAPROTAXv1.1,aerobic_chemoheterotrophy,
465,Christensenella,FAPROTAXv1.1,fermentation,
466,Chromatiaceae,FAPROTAXv1.1,anoxygenic_photoautotrophy,aerobic_ammonia_oxidation
467,Chromatiales,"(Antharaman et al., 2016), FAPROTAXv1.1",S_cycle C1_ox aerobic anoxygenic_photoautotrophy_S_oxidizing   ,
468,Chromatium,FAPROTAXv1.1,ureolysis,
469,Chromobacterium,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",nirK norB chitinolysis invertebrate_parasites            ,
470,Chromohalobacter,FAPROTAXv1.1,denitrification,urea 
471,Chryseobacterium,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",nirK norB fermentation human_gut nitrate_reduction ureolysis          ,
472,Chryseolinea,FAPROTAXv1.1,aerobic_chemoheterotrophy,xylan
473,Chrysiogenes,FAPROTAXv1.1,arsenate_respiration,DNRA nitrite_respiration               
474,Chrysiogenetes,FAPROTAXv1.1,denitrification,urea 
475,Chthoniobacter,"(Sangwan et al., 2004) (Graf et al., 2014), FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy              
476,Chthoniobacteraceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
477,Chthoniobacterales,FAPROTAXv1.1,animal_parasites_or_symbionts,                
478,Citreicella,"(Graf et al., 2014), FAPROTAXv1.1",nosZ dark_thiosulfate_oxidation fermentation            ,
479,Citreimonas,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
480,Citricoccus,FAPROTAXv1.1,ureolysis,
481,Citrobacter,FAPROTAXv1.1,animal_parasites_or_symbionts,arsenate_respiration fermentation human_pathogens_all nitrate_respiration             
482,Citromicrobium,FAPROTAXv1.1,aerobic_anoxygenic_phototrophy,aerobic_anoxygenic_phototrophy
483,Clavibacter,FAPROTAXv1.1,plant_pathogen,
484,Cloacibacterium,"(Allen et al., 2006)",non-N,              
485,Clonothrix,FAPROTAXv1.1,methanotroph,
486,Closterium,FAPROTAXv1.1,plastic_degradation,
487,Clostridiaceae,FAPROTAXv1.1,fermentation,"N2_fix, acetogenesis, S"
488,Clostridiales,"(Antharaman et al., 2016), FAPROTAXv1.1",N_fix S_cycle H2_ox H2_prod C1_ox aerobic fermentation nitrogen_fixation reductive_acetogenesis sulfur_respiration      ,
489,Clostridium,", FAPROTAXv1.1",cellulolysis,degradation
490,Clostridiumpeptidivorans,FAPROTAXv1.1,fermentation,
491,Coccidioides,"(Graf et al., 2014)",nirK               ,
492,Cohaesibacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,cellulolysis
493,Cohnella,FAPROTAXv1.1,aerobic_chemoheterotrophy,cellulolysis
494,Collinsella,FAPROTAXv1.1,human_gut,
495,Colwellia,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",nirS norB nosZ ureolysis            ,
496,Comamonadaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"H, S, fermentation, Mn, N"
497,Comamonas,"(Jones et al., 2008), FAPROTAXv1.1",nirS aerobic_chemoheterotrophy aromatic_hydrocarbon_degradation ligninolysis nitrate_denitrification plastic_degradation          ,
498,Compostimonas,"(Kim et al., 2012), FAPROTAXv1.1",denitrification,
499,Conexibacter,"{Monciardini, P., et al. (2003)}, FAPROTAXv1.1",denitrification,
500,Congregibacter,FAPROTAXv1.1,aerobic_anoxygenic_phototrophy,aerobic_anoxygenic_phototrophy
501,Coprococcus,"(HOLDEMAN and Moore, 1974), FAPROTAXv1.1",non-N,human_gut              
502,Coprothermobacter,FAPROTAXv1.1,fermentation,
503,Cor,FAPROTAXv1.1,fermentation,
504,Coraliomargarita,FAPROTAXv1.1,ureolysis,
505,Coriobacteriaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"H, fermentation"
506,Corynebacterium,"(Graf et al., 2014), FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy animal_parasites_or_symbionts fermentation human_gut human_pathogens_all human_pathogens_nosocomia human_pathogens_septicemia nitrate_reduction plastic_degradation ureolysis     
507,Costertonia,FAPROTAXv1.1,aerobic_chemoheterotrophy,"N, urea"
508,Couchioplanes,FAPROTAXv1.1,denitrification,
509,Coxiella,"(Antharaman et al., 2016), FAPROTAXv1.1",non-N,animal_parasites_or_symbionts              
510,Coxiellaceae,FAPROTAXv1.1,human_pathogens_all,parasite
511,Craurococcus,FAPROTAXv1.1,Fungus,aerobic_anoxygenic_phototrophy
512,Crenarchaeota,FAPROTAXv1.1,H_ox,#REF!
513,Crenothrix,"(Stoecker et al., 2006), FAPROTAXv1.1",methanotroph,
514,Croceibacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,urea
515,Croceitalea,FAPROTAXv1.1,aerobic_chemoheterotrophy,
516,Crocinitomix,"(Bowman et al., 2003)",non-N,              
517,Crocosphaera,FAPROTAXv1.1,N2_fix,
518,Cronobacter,FAPROTAXv1.1,human_pathogens_all,human_pathogens_meningitis
519,Crossiella,FAPROTAXv1.1,ureolysis,
520,Cryobacterium,FAPROTAXv1.1,denitrification,
521,Cryomorpha,FAPROTAXv1.1,ureolysis,
522,Cryomorphaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"fermentation, N"
523,Cryptosorangium,FAPROTAXv1.1,ureolysis,
524,Cryptosporangiaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
525,Cryptosporangium,FAPROTAXv1.1,denitrification,urea 
526,Cupriavidus,"(Vandamme and Coenye, 2004) (Jones et al., 2008) , (Graf et al., 2014)",non-N,              
527,Curtobacterium,"(Funke et al., 2005), FAPROTAXv1.1",non-N,plant_pathogen              
528,Curvibacter,"(Antharaman et al., 2016)",C_cycle N_cycle S_cycle H2_prod C1_ox aerobic            ,
530,Cyanobacteria,FAPROTAXv1.1,N2_fix,
529,cyanobacteria,FAPROTAXv1.1,,
531,Cyclobacteriaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"fermentation, N"
532,Cyclobacterium,FAPROTAXv1.1,aerobic_chemoheterotrophy,
533,Cycloclasticus,FAPROTAXv1.1,aromatic_hydrocarbon_degradation,oil_bioremediation                
534,Cystobacteraceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
535,Cytophaga,", FAPROTAXv1.1",non-N,cellulolysis chitinolysis fermentation xylanolysis           
536,Cytophagaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,"cellulolysis, fermentation, N, urea"
537,Cytophagales,FAPROTAXv1.1,aerobic_chemoheterotrophy,cellulolysis
538,Dactylosporangium,FAPROTAXv1.1,denitrification,
539,Dechloromonas,"(Coates et al., 2001) (Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",denitrification,"Fe, S, fumarate"
540,Dechlorosoma,"(Graf et al., 2014), FAPROTAXv1.1",nirS norB nosZ dark_iron_oxidation nitrate_denitrification           ,
541,Deferribacter,FAPROTAXv1.1,arsenate_respiration,dark_hydrogen_oxidation iron_respiration manganese_respiration nitrate_respiration sulfur_respiration            
542,Deferribacteraceae,FAPROTAXv1.1,fermentation,"Fe, Mn, N"
543,Deferribacteres,FAPROTAXv1.1,arsenate_respiration,fermentation                
544,Deferrisoma,FAPROTAXv1.1,Fe,S
545,Defluviitoga,FAPROTAXv1.1,thiosulfate_oxidation,
546,Dehalobacter,FAPROTAXv1.1,H_ox,#REF!
547,Dehalococcoides,FAPROTAXv1.1,aromatic_compound_degradation,dark_hydrogen_oxidation                
548,Dehalogenimonas,FAPROTAXv1.1,H_ox,#REF!
549,Deinococcus,FAPROTAXv1.1,denitrification,
550,Delftia,"{Wen, A., et al. (1999)}, FAPROTAXv1.1",non-N,chitinolysis plastic_degradation             
551,Deltaproteobacteria,"(Antharaman et al., 2016), FAPROTAXv1.1",C_cycle N_fix N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic arsenate_respiration dark_sulfide_oxidation predatory_or_exoparasitic sulfate_respiration sulfur_respiration    ,
552,Deltaproteobacterium,FAPROTAXv1.1,aromatic_hydrocarbon_degradation,sulfate_respiration                
553,Demequina,"(Yi et al., 2007), FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy fermentation nitrate_reduction            
554,Demequinaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
555,Denitratisoma,", FAPROTAXv1.1",non-N,aerobic_chemoheterotrophy nitrate_denitrification             
556,Denitrification,,denitrification,
557,Denitrobacterium,", FAPROTAXv1.1",denitrification,DNRA
558,Denitrovibrio,"(Graf et al., 2014), FAPROTAXv1.1",nosZ arsenate_respiration DNRA            ,
559,Dermabacter,FAPROTAXv1.1,human_pathogens_all,
560,Dermabacteraceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,fermentation
561,Dermacoccaceae,FAPROTAXv1.1,aerobic_chemoheterotrophy,
562,Dermacoccus,FAPROTAXv1.1,cellulolysis,urea
563,Dermatophilaceae,FAPROTAXv1.1,animal_parasites_or_symbionts,                
564,Dermatophilus,FAPROTAXv1.1,denitrification,urea 
565,Derxia,FAPROTAXv1.1,N2_fix,
566,Desertibacter,FAPROTAXv1.1,aerobic_chemoheterotrophy,N
567,Desulfacinum,FAPROTAXv1.1,S_reduction,
568,Desulfarculaceae,FAPROTAXv1.1,S_reduction,
569,Desulfarculales,FAPROTAXv1.1,S_reduction,
570,Desulfarculus,FAPROTAXv1.1,S_reduction,
571,Desulfatitalea,FAPROTAXv1.1,fumarate_respiration,"S, Fe"
572,Desulfitispora,FAPROTAXv1.1,H_ox,#REF!
573,Desulfitobacterium,"(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1",norB nosZ aromatic_compound_degradation aromatic_hydrocarbon_degradation arsenate_respiration dark_hydrogen_oxidation dissimilatory sulfite reduction fermentation fumarate_respiration iron_respiration manganese_oxidation manganese_respiration nitrate_respiration,
574,Desulfobacca,"(Antharaman et al., 2016), FAPROTAXv1.1",N_cycle S_cycle H2_ox H2_prod C1_ox aerobic dissimilatory sulfite reduction       ,
575,Desulfobacter,FAPROTAXv1.1,S_reduction,
576,Desulfobacteraceae,FAPROTAXv1.1,S_reduction,fermentation
577,Desulfobacterales,"(Antharaman et al., 2016), FAPROTAXv1.1",C_cycle N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic sulfate_respiration         ,
578,Desulfobacterium,FAPROTAXv1.1,aromatic_hydrocarbon_degradation,dissimilatory sulfite reduction nitrate_respiration             
579,Desulfobacula,"(Antharaman et al., 2016), FAPROTAXv1.1",C_cycle S_cycle H2_ox H2_prod C1_ox aerobic aromatic_hydrocarbon_degradation sulfate_respiration          ,
580,Desulfobaculum,FAPROTAXv1.1,S_reduction,fermentation
581,Desulfobulbaceae,FAPROTAXv1.1,H_ox,#REF!
582,Desulfobulbus,", FAPROTAXv1.1",non-N,dissimilatory sulfite reduction DNRA fermentation iron_respiration sulfate_respiration thiosulfate_respiration       
583,Desulfocapsa,FAPROTAXv1.1,S_reduction,fermentation
584,Desulfococcus,FAPROTAXv1.1,aromatic_compound_degradation,dissimilatory sulfite reduction nitrate_denitrification sulfate_respiration            
585,Desulfoconvexum,FAPROTAXv1.1,aromatic_compound_degradation,dark_hydrogen_oxidation fermentation sulfate_respiration sulfur_respiration thiosulfate_respiration            
586,Desulfocurvus,FAPROTAXv1.1,S_reduction,"fermentation, S"
587,Desulfofrigus,FAPROTAXv1.1,S_reduction,Fe
588,Desulfofustis,FAPROTAXv1.1,S_reduction,
589,Desulfohalobiaceae,FAPROTAXv1.1,S_reduction,
590,Desulfohalobium,FAPROTAXv1.1,fermentation,
591,Desulfohalophilus,FAPROTAXv1.1,S_reduction,
592,Desulfomaculum,FAPROTAXv1.1,arsenate_respiration,nitrate_respiration                
593,Desulfomicrobiaceae,FAPROTAXv1.1,fermentation,S 
594,Desulfomicrobium,FAPROTAXv1.1,arsenate_respiration,dissimilatory sulfite reduction sulfate_respiration sulfur_respiration            
595,Desulfomonile,"(Graf et al., 2014), FAPROTAXv1.1",norB nosZ nitrate_reduction nitrogen_fixation sulfate_respiration thiosulfate_respiration         ,
596,Desulfonatronaceae,FAPROTAXv1.1,S_reduction,
597,Desulfonatronovibrio,FAPROTAXv1.1,H_ox,#REF!
598,Desulfonatronum,FAPROTAXv1.1,H_ox,#REF!
599,Desulfonatronumaceae,FAPROTAXv1.1,S_reduction,
600,Desulfonauticus,FAPROTAXv1.1,H_ox,#REF!
601,Desulfopila,FAPROTAXv1.1,H_ox,#REF!
602,Desulforhabdus,FAPROTAXv1.1,S_reduction,
603,Desulforhopalus,FAPROTAXv1.1,S_reduction,"DNRA, fermentation, N"
604,Desulfosalsimonas,FAPROTAXv1.1,H_ox,#REF!
605,Desulfosarcina,FAPROTAXv1.1,aromatic_compound_degradation,dissimilatory sulfite reduction nitrate_denitrification             
606,Desulfosoma,FAPROTAXv1.1,H_ox,#REF!
607,Desulfospira,FAPROTAXv1.1,S_reduction,
608,Desulfosporomusa,FAPROTAXv1.1,S_reduction,
609,Desulfosporosinus,"(Stackebrandt et al., 1997) (Graf et al., 2014), FAPROTAXv1.1",S_reduction,degradation
