,gen,ref_consol,fun_consol,fun_consol,
411,Candidatus Brocadia,(Jetten et al. 2015),anammox,Ammox,
312,Candidatus Buchananbacteria,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,,
313,Candidatus Campbellbacteria,"(_Anantharaman et al., 2016)",S_cycle aerobic     ,,
314,Candidatus Chisholmbacteria,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,,
315,Candidatus Coatesbacteria,"(_Anantharaman et al., 2016)",H2_ox,,
316,Candidatus Collierbacteria,"(_Anantharaman et al., 2016)",C_cycle N_fix S_cycle H2_ox H2_prod C1_ox aerobic           ,,
317,Candidatus Colwellbacteria,"(_Anantharaman et al., 2016)",aerobic_chemoheterotrophy,aerobic,
318,Candidatus Curtissbacteria,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,,
319,Candidatus Dadabacteria,"(_Anantharaman et al., 2016)",N_cycle S_cycle Fe_Cycle H2_prod aerobic           ,,
320,Candidatus Daviesbacteria,"(_Anantharaman et al., 2016)",N_fix aerobic              ,,
321,Candidatus Delongbacteria,"(_Anantharaman et al., 2016)",H2_prod,,
322,Candidatus Diapherotrites_phylum,,varied_archaea,,
323,Candidatus Doudnabacteria,"(_Anantharaman et al., 2016)",N_cycle aerobic              ,,
324,Candidatus Edwardsbacteria,"(_Anantharaman et al., 2016)",H2_ox,H2_prod,
325,Candidatus Eisenbacteria,"(_Anantharaman et al., 2016)",N_cycle S_cycle Fe_Cycle H2_prod C1_ox aerobic          ,,
326,Candidatus Falkowbacteria,"(_Anantharaman et al., 2016)",C_cycle S_cycle H2_ox H2_prod aerobic             ,,
327,Candidatus Firestonebacteria,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,,
328,Candidatus Fischerbacteria,"(_Anantharaman et al., 2016)",S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic ,,
329,Candidatus Fraserbacteria,"(_Anantharaman et al., 2016)",C_cycle N_cycle S_cycle H2_ox H2_prod aerobic            ,,
330,Candidatus Giovannonibacteria,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,,
331,Candidatus Glassbacteria,"(_Anantharaman et al., 2016)",N_cycle S_cycle H2_ox H2_prod C1_ox aerobic          ,,
332,Candidatus Gottesmanbacteria,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,,
333,Candidatus Handelsmanbacteria,"(_Anantharaman et al., 2016)",N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic         ,,
334,Candidatus Harrisonbacteria,"(_Anantharaman et al., 2016)",aerobic_chemoheterotrophy,aerobic,
335,Candidatus Jacksonbacteria,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,,
336,Candidatus Jettenia,(Jetten et al. 2015),anammox,Ammox,
337,Candidatus Jorgensenbacteria,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,,
338,Candidatus Kaiserbacteria,"(_Anantharaman et al., 2016)",N_fix N_cycle S_cycle H2_prod aerobic           ,,
339,Candidatus Kerfeldbacteria,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,,
340,Candidatus Komeilibacteria,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,,
341,Candidatus Koribacter,(Ward et al. 2009),denitrification,,"CO_ox, auto"
342,Candidatus Kuenenbacteria,"(_Anantharaman et al., 2016)",C_cycle H2_prod aerobic               ,,
343,Candidatus Kuenenia,(Jetten et al. 2015),anammox,Ammox,
344,Candidatus Lambdaproteobacteria,"(_Anantharaman et al., 2016)",N_cycle S_cycle H2_ox aerobic            ,,
345,Candidatus Levybacteria,"(_Anantharaman et al., 2016)",C_cycle S_cycle H2_ox H2_prod aerobic             ,,
346,Candidatus Lindowbacteria,"(_Anantharaman et al., 2016)",N_cycle S_cycle Fe_Cycle H2_ox H2_prod aerobic          ,,
347,Candidatus Liptonbacteria,"(_Anantharaman et al., 2016)",N_cycle aerobic              ,,
348,Candidatus Lloydbacteria,"(_Anantharaman et al., 2016)",N_cycle S_cycle H2_ox H2_prod aerobic           ,,
349,Candidatus Magasanikbacteria,"(_Anantharaman et al., 2016)",N_fix N_cycle S_cycle H2_ox H2_prod aerobic          ,,
350,Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_02_FULL_50_9b,(Danczak et al. 2017),CPR-OD1,CPR-OD1,
351,Candidatus Margulisbacteria,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod C1_ox aerobic  ,,
352,Candidatus Melainabacteria,"(_Anantharaman et al., 2016)",N_cycle S_cycle H2_prod aerobic            ,,
353,Candidatus metachlamydia,(Corsaro et al. 2010),non-N,              ,
413,Candidatus Methanoregula,(Bräuer et al. 2011),methanogen,,
354,Candidatus Methylomirabilis,"(Graf et al., 2014)",nirS norB              ,,
355,Candidatus Micrarchaeota,"(_Anantharaman et al., 2016)",C_cycle S_cycle H2_ox H2_prod aerobic             ,,
356,Candidatus Microthrix,"(Graf et al., 2014)",nirK               ,,
357,Candidatus Moranbacteria,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,,
358,Candidatus Muproteobacteria,"(_Anantharaman et al., 2016)",C_cycle N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic          ,,
359,Candidatus Nealsonbacteria,"(_Anantharaman et al., 2016)",H2_prod,,
360,Candidatus nitrosoarchaeum,(Graf et al. 2014; Kim et al. 2011),ammonia_oxidation,Ammonia,
361,Candidatus nitrosocaldus,(De la Torre et al. 2008),ammonia_oxidation,Ammonia,
414,Candidatus Nitrosocosmicus,(Lehtovirta-Morley et al. 2016),ammonia_oxidation,Ammonia,
362,Candidatus Nitrosopumilus,"(Graf et al., 2014)",nirK               ,,
415,Candidatus Nitrososphaera,(Stieglmeier et al. 2014),ammonia_oxidation,Ammonia,
363,Candidatus Nitrososphaera,"(Graf et al., 2014)",ammonia_oxidation,Ammonia,
364,Candidatus nitrosotalea,(Herbold et al. 2017),ammonia_oxidation,Ammonia,
365,Candidatus Nitrosotenuis,(Li et al. 2016),ammonia_oxidation,Ammonia,
366,Candidatus Nitrospira,"(Graf et al., 2014)",nirK               ,,
367,Candidatus nitrotoga,"(Alawi et al., 2007)",nitrite_oxidation,,
368,Candidatus Niyogibacteria,"(_Anantharaman et al., 2016)",N_cycle S_cycle aerobic             ,,
369,Candidatus Nomurabacteria,"(_Anantharaman et al., 2016)",N_fix N_cycle S_cycle H2_prod aerobic           ,,
370,Candidatus Omnitrophus,(Kolinko et al. 2016),Magnetatactic+,,
371,Candidatus Pacearchaeota,"(_Anantharaman et al., 2016)",C_cycle N_fix S_cycle H2_ox H2_prod aerobic            ,,
372,Candidatus Pacearchaeota_phylum,,varied_archaea,,
373,Candidatus Pacebacteria,"(_Anantharaman et al., 2016)",aerobic_chemoheterotrophy,aerobic,
374,Candidatus Peregrinibacteria,"(_Anantharaman et al., 2016)",C_cycle N_fix S_cycle H2_prod aerobic             ,,
375,Candidatus Peribacteria,"(_Anantharaman et al., 2016)",N_cycle C1_ox aerobic             ,,
377,Candidatus planktophila,(Jezbera et al. 2009),non-N,              ,
378,Candidatus Portnoybacteria,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,,
379,Candidatus protistobacter,(Vannini et al. 2013),non-N,              ,
380,Candidatus protochlamydia,(Collingro et al. 2005b),non-N,              ,
416,Candidatus Protochlamydia,(Collingro et al. 2005b),non-N,              ,
381,Candidatus rhabdochlamydia,(Kostanjsek et al. 2004),non-N,              ,
417,Candidatus Rhabdochlamydia,(Kostanjsek et al. 2004),non-N,              ,
1866,Candidatus Riegeria,(Gruber-Vodicka et al. 2011),intracellular_parasites,,
382,Candidatus Riflebacteria,"(_Anantharaman et al., 2016)",C_cycle S_cycle H2_prod C1_ox aerobic             ,,
383,Candidatus Roizmanbacteria,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,,
384,Candidatus Rokubacteria,"(_Anantharaman et al., 2016)",N_fix N_cycle S_cycle Fe_Cycle H2_prod C1_ox aerobic         ,,
385,Candidatus Ryanbacteria,"(_Anantharaman et al., 2016)",N_cycle S_cycle H2_prod aerobic            ,,
386,Candidatus Saccharibacteria,"(_Anantharaman et al., 2016)",N_cycle aerobic              ,,
387,Candidatus Saccharimonas,(Kindaichi et al. 2016),denitrification,,
388,Candidatus Schekmanbacteria,"(_Anantharaman et al., 2016)",N_cycle S_cycle Fe_Cycle H2_prod C1_ox aerobic          ,,
389,Candidatus Shapirobacteria,"(_Anantharaman et al., 2016)",aerobic_chemoheterotrophy,aerobic,
418,Candidatus Solibacter,(Ward et al. 2009),denitrification,,
390,Candidatus solibacter,(Krishnamurthi et al. 2009),denitrification,,
391,Candidatus Spechtbacteria,"(_Anantharaman et al., 2016)",N_cycle aerobic              ,,
392,Candidatus Staskawiczbacteria,"(_Anantharaman et al., 2016)",H2_prod,,
393,Candidatus Sungbacteria,"(_Anantharaman et al., 2016)",N_fix N_cycle S_cycle H2_ox H2_prod aerobic          ,,
394,Candidatus Tagabacteria,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,,
395,Candidatus Taylorbacteria,"(_Anantharaman et al., 2016)",H2_prod,,
396,Candidatus Tectomicrobia,"(_Anantharaman et al., 2016)",N_cycle S_cycle Fe_Cycle C1_ox aerobic           ,,
397,Candidatus Terrybacteria,"(_Anantharaman et al., 2016)",N_cycle aerobic              ,,
398,Candidatus Uhrbacteria,"(_Anantharaman et al., 2016)",N_cycle S_cycle H2_ox H2_prod aerobic           ,,
399,Candidatus Veblenbacteria,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,,
400,Candidatus vidania,(Gonella et al. 2011),non-N,              ,
401,Candidatus Vogelbacteria,"(_Anantharaman et al., 2016)",S_cycle aerobic     ,,
402,Candidatus Wallbacteria,"(_Anantharaman et al., 2016)",N_cycle H2_prod aerobic             ,,
403,Candidatus Wildermuthbacteria,"(_Anantharaman et al., 2016)",H2_prod,,
404,Candidatus Woesearchaeota,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,,
405,Candidatus Woesebacteria,"(_Anantharaman et al., 2016)",S_cycle aerobic     ,,
406,Candidatus Wolfebacteria,"(_Anantharaman et al., 2016)",N_cycle S_cycle aerobic             ,,
407,Candidatus Woykebacteria,"(_Anantharaman et al., 2016)",S_cycle H2_ox H2_prod aerobic   ,,
419,Candidatus Xiphinematobacter,(Vandekerckhove et al. 2002),non-N,              ,
408,Candidatus Yanofskybacteria,"(_Anantharaman et al., 2016)",N_cycle S_cycle H2_ox H2_prod C1_ox aerobic          ,,
409,Candidatus Yonathbacteria,"(_Anantharaman et al., 2016)",N_cycle aerobic              ,,
410,Candidatus Zambryskibacteria,"(_Anantharaman et al., 2016)",N_cycle S_cycle aerobic             ,,
420,Capnocytophaga,"(Graf et al., 2014)",nirK norB nosZ             ,,
421,Carboxydothermus,(Louca et al. 2016),H_ox,#REF!,
422,Cardiobacteriaceae,(Louca et al. 2016),fermentation,,
423,Cardiobacterium,"(Graf et al., 2014)",nirK norB nosZ             ,,
424,Carnobacteriaceae,(Louca et al. 2016),fermentation,,
425,Carnobacterium,(Louca et al. 2016),fermentation,,
426,Catellatospora,(Louca et al. 2016),aerobic_chemoheterotrophy,,
427,Catellicoccus,(Louca et al. 2016),gut,,
428,Catenococcus,(Louca et al. 2016),thiosulfate_oxidation,,
429,Catenulispora,(Louca et al. 2016),denitrification,,
430,Catenuloplanes,(Louca et al. 2016),ureolysis,,
431,Caulobacter,(Graf et al. 2014; Louca et al. 2016; MacRae and Smit 1991),non-N,aerobic_chemoheterotrophy              ,
432,Caulobacterales,"(_Anantharaman et al., 2016)",N_cycle S_cycle C1_ox aerobic            ,,
433,Cecembia,"(Graf et al., 2014)",nirK norB nosZ             ,,
434,Celeribacter,"(Graf et al., 2014; Louca et al., 2014)",nirK norB nosZ aerobic_chemoheterotrophy aromatic_hydrocarbon_degradation fermentation nitrate_respiration ureolysis        ,,
435,Cellulomonadaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,fermentation,
436,Cellulomonas,(Bagnara et al. 1985; Graf et al. 2014b; Louca et al. 2016),cellulolysis,"chitinolysis, fermentation, Fe, N, urea",
437,Cellulophaga,"(Graf et al., 2014; Louca et al., 2014)",norB nosZ nitrate_reduction ureolysis           ,,
438,Cellulosimicrobium,(Louca et al. 2016),cellulolysis,"fermentation, N, urea",
439,Cellvibrio,"(Graf et al., 2014; Louca et al., 2014)",nirK aerobic_chemoheterotrophy cellulolysis nitrogen_fixation            ,,
440,Cenarchaeum,(Hallam et al. 2006; Louca et al. 2016),ammonia_oxidation,Ammonia,
441,Cenibacterium,(Louca et al. 2016),arsenite_oxidation_detoxification,                ,
442,Centipeda,(Louca et al. 2016),denitrification,,
443,Cetia,(Louca et al. 2016),H_ox,#REF!,
444,Cetobacterium,(Louca et al. 2016),fermentation,N,
445,Chaetomium,"(Graf et al., 2014)",nirK norB              ,,
446,Chelatococcus,"(Graf et al., 2014)",nirK norB nosZ             ,,
447,Chitinibacter,(Louca et al. 2016),chitinolysis,,
448,Chitinilyticum,(Louca et al. 2016),chitinolysis,,
449,Chitinivibrio,(Louca et al. 2016),chitinolysis,fermentation,
450,Chitinolyticbacter,(Louca et al. 2016),chitinolysis,,
451,Chitinophaga,(Louca et al. 2016; SANGKHOBOL and Skerman 1981),non-N,cellulolysis chitinolysis nitrate_reduction ureolysis           ,
452,Chitinophagaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,,
453,Chlamydia,(Collingro et al. 2005a; Louca et al. 2016),non-N,human_pathogens_all              ,
454,Chlamydiae,"(_Anantharaman et al., 2016; Louca et al., 2014)",S_cycle H2_ox H2_prod aerobic intracellular_parasites  ,,
455,Chloracidobacterium,(Louca et al. 2016),photoheterotrophy,,
456,Chlorobaculum,(Louca et al. 2016),anoxygenic_photoautotrophy_S_oxidizing,dark_sulfide_oxidation                ,
457,Chlorobi,(Louca et al. 2016),anoxygenic_photoautotrophy,anoxygenic_photoautotrophy_S_oxidizing                ,
458,Chlorobium,(Louca et al. 2016),anoxygenic_photoautotrophy_Fe_oxidizing,anoxygenic_photoautotrophy_S_oxidizing dark_iron_oxidation nitrogen_fixation              ,
459,Chloroflexi,"(_Anantharaman et al., 2016)",C_cycle N_fix N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic         ,,
460,Chloroflexus,"(Graf et al., 2014; Louca et al., 2014)",nirK aerobic_anoxygenic_phototrophy aerobic_chemoheterotrophy anoxygenic_photoautotrophy_S_oxidizing            ,,
461,Chloroherpeton,(Louca et al. 2016),anoxygenic_photoautotrophy_S_oxidizing,                ,
462,chloroplast,(Louca et al. 2016),chloroplast,chloroplasts,
463,Chlorosi,(Louca et al. 2016),anoxygenic_photoautotrophy_S_oxidizing,                ,
464,Chondromyces,(Louca et al. 2016),aerobic_chemoheterotrophy,,
465,Christensenella,(Louca et al. 2016),fermentation,,
466,Chromatiaceae,(Louca et al. 2016),anoxygenic_photoautotrophy,aerobic_ammonia_oxidation,
467,Chromatiales,"(_Anantharaman et al., 2016; Louca et al., 2014)",S_cycle C1_ox aerobic anoxygenic_photoautotrophy_S_oxidizing   ,,
468,Chromatium,(Louca et al. 2016),ureolysis,,
469,Chromobacterium,(Graf et al. 2014; Jones et al. 2008; Louca et al. 2016),nirK norB chitinolysis invertebrate_parasites            ,,
470,Chromohalobacter,(Louca et al. 2016),denitrification,urea ,
471,Chryseobacterium,(Graf et al. 2014; Jones et al. 2008; Louca et al. 2016),nirK norB fermentation human_gut nitrate_reduction ureolysis          ,,
472,Chryseolinea,(Louca et al. 2016),aerobic_chemoheterotrophy,xylan,
473,Chrysiogenes,(Louca et al. 2016),arsenate_respiration,DNRA nitrite_respiration               ,
474,Chrysiogenetes,(Louca et al. 2016),denitrification,urea ,
475,Chthoniobacter,(Sangwan et al. 2004),non-N,aerobic_chemoheterotrophy              ,
476,Chthoniobacteraceae,(Louca et al. 2016),aerobic_chemoheterotrophy,,
477,Chthoniobacterales,(Louca et al. 2016),animal_parasites_or_symbionts,                ,
478,Citreicella,"(Graf et al., 2014; Louca et al., 2014)",nosZ dark_thiosulfate_oxidation fermentation            ,,
479,Citreimonas,(Louca et al. 2016),aerobic_chemoheterotrophy,N,
480,Citricoccus,(Louca et al. 2016),ureolysis,,
481,Citrobacter,(Louca et al. 2016),animal_parasites_or_symbionts,arsenate_respiration fermentation human_pathogens_all nitrate_respiration             ,
482,Citromicrobium,(Louca et al. 2016),aerobic_anoxygenic_phototrophy,aerobic_anoxygenic_phototrophy,
483,Clavibacter,(Louca et al. 2016),plant_pathogen,,
484,Cloacibacterium,"(Allen et al., 2006)",non-N,              ,
485,Clonothrix,(Louca et al. 2016),methanotroph,,
486,Closterium,(Louca et al. 2016),plastic_degradation,,
487,Clostridiaceae,(Louca et al. 2016),fermentation,"N2_fix, acetogenesis, S",
488,Clostridiales,"(_Anantharaman et al., 2016; Louca et al., 2014)",N_fix S_cycle H2_ox H2_prod C1_ox aerobic fermentation nitrogen_fixation reductive_acetogenesis sulfur_respiration      ,,
489,Clostridium,"(Louca et al., 2014)",cellulolysis,degradation,
490,Clostridiumpeptidivorans,(Louca et al. 2016),fermentation,,
491,Coccidioides,"(Graf et al., 2014)",nirK               ,,
492,Cohaesibacter,(Louca et al. 2016),aerobic_chemoheterotrophy,cellulolysis,
493,Cohnella,(Louca et al. 2016),aerobic_chemoheterotrophy,cellulolysis,
494,Collinsella,(Louca et al. 2016),human_gut,,
495,Colwellia,(Graf et al. 2014; Jones et al. 2008; Louca et al. 2016),nirS norB nosZ ureolysis            ,,
496,Comamonadaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,"H, S, fermentation, Mn, N",
497,Comamonas,(Jones et al. 2008; Louca et al. 2016),nirS aerobic_chemoheterotrophy aromatic_hydrocarbon_degradation ligninolysis nitrate_denitrification plastic_degradation          ,,
498,Compostimonas,(Kim et al. 2012; Louca et al. 2016),denitrification,,
499,Conexibacter,(Louca et al. 2016; Monciardini et al. 2003),denitrification,,
500,Congregibacter,(Louca et al. 2016),aerobic_anoxygenic_phototrophy,aerobic_anoxygenic_phototrophy,
501,Coprococcus,(HOLDEMAN and Moore 1974; Louca et al. 2016),non-N,human_gut              ,
502,Coprothermobacter,(Louca et al. 2016),fermentation,,
503,Cor,(Louca et al. 2016),fermentation,,
504,Coraliomargarita,(Louca et al. 2016),ureolysis,,
505,Coriobacteriaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,"H, fermentation",
506,Corynebacterium,"(Graf et al., 2014; Louca et al., 2014)",non-N,aerobic_chemoheterotrophy animal_parasites_or_symbionts fermentation human_gut human_pathogens_all human_pathogens_nosocomia human_pathogens_septicemia nitrate_reduction plastic_degradation ureolysis     ,
507,Costertonia,(Louca et al. 2016),aerobic_chemoheterotrophy,"N, urea",
508,Couchioplanes,(Louca et al. 2016),denitrification,,
509,Coxiella,"(_Anantharaman et al., 2016; Louca et al., 2014)",non-N,animal_parasites_or_symbionts              ,
510,Coxiellaceae,(Louca et al. 2016),human_pathogens_all,parasite,
511,Craurococcus,(Louca et al. 2016),Fungus,aerobic_anoxygenic_phototrophy,
512,Crenarchaeota,(Louca et al. 2016),H_ox,#REF!,
513,Crenothrix,(Louca et al. 2016; Stoecker et al. 2006),methanotroph,,
514,Croceibacter,(Louca et al. 2016),aerobic_chemoheterotrophy,urea,
515,Croceitalea,(Louca et al. 2016),aerobic_chemoheterotrophy,,
516,Crocinitomix,(Bowman et al. 2003),non-N,              ,
517,Crocosphaera,(Louca et al. 2016),N2_fix,,
518,Cronobacter,(Louca et al. 2016),human_pathogens_all,human_pathogens_meningitis,
519,Crossiella,(Louca et al. 2016),ureolysis,,
520,Cryobacterium,(Louca et al. 2016),denitrification,,
521,Cryomorpha,(Louca et al. 2016),ureolysis,,
522,Cryomorphaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,"fermentation, N",
523,Cryptosorangium,(Louca et al. 2016),ureolysis,,
524,Cryptosporangiaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,,
525,Cryptosporangium,(Louca et al. 2016),denitrification,urea ,
526,Cupriavidus,(Graf et al. 2014a; Jones et al. 2008b; Vandamme and Coenye 2004),non-N,              ,
527,Curtobacterium,(Funke et al. 2005; Louca et al. 2016),non-N,plant_pathogen              ,
528,Curvibacter,"(_Anantharaman et al., 2016)",C_cycle N_cycle S_cycle H2_prod C1_ox aerobic            ,,
530,Cyanobacteria,(Louca et al. 2016),N2_fix,,
529,cyanobacteria,(Louca et al. 2016),,,
531,Cyclobacteriaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,"fermentation, N",
532,Cyclobacterium,(Louca et al. 2016),aerobic_chemoheterotrophy,,
533,Cycloclasticus,(Louca et al. 2016),aromatic_hydrocarbon_degradation,oil_bioremediation                ,
534,Cystobacteraceae,(Louca et al. 2016),aerobic_chemoheterotrophy,,
535,Cytophaga,"(Louca et al., 2014)",non-N,cellulolysis chitinolysis fermentation xylanolysis           ,
536,Cytophagaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,"cellulolysis, fermentation, N, urea",
537,Cytophagales,(Louca et al. 2016),aerobic_chemoheterotrophy,cellulolysis,
538,Dactylosporangium,(Louca et al. 2016),denitrification,,
539,Dechloromonas,(Coates et al. 2001; Louca et al. 2016),denitrification,"Fe_ox, H2S_ox, fumarate, ClO3_red, ClO4_red",
540,Dechlorosoma,"(Graf et al., 2014; Louca et al., 2014)",nirS norB nosZ dark_iron_oxidation nitrate_denitrification           ,,
541,Deferribacter,(Louca et al. 2016),arsenate_respiration,dark_hydrogen_oxidation iron_respiration manganese_respiration nitrate_respiration sulfur_respiration            ,
542,Deferribacteraceae,(Louca et al. 2016),fermentation,"Fe, Mn, N",
543,Deferribacteres,(Louca et al. 2016),arsenate_respiration,fermentation                ,
544,Deferrisoma,(Louca et al. 2016),Fe,S,
545,Defluviitoga,(Louca et al. 2016),thiosulfate_oxidation,,
546,Dehalobacter,(Louca et al. 2016),H_ox,#REF!,
547,Dehalococcoides,(Louca et al. 2016),aromatic_compound_degradation,dark_hydrogen_oxidation                ,
548,Dehalogenimonas,(Louca et al. 2016),H_ox,#REF!,
549,Deinococcus,(Louca et al. 2016),denitrification,,
550,Delftia,(Louca et al. 2016; Wen et al. 1999),non-N,chitinolysis plastic_degradation             ,
551,Deltaproteobacteria,"(_Anantharaman et al., 2016; Louca et al., 2014)",C_cycle N_fix N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic arsenate_respiration dark_sulfide_oxidation predatory_or_exoparasitic sulfate_respiration sulfur_respiration    ,,
552,Deltaproteobacterium,(Louca et al. 2016),aromatic_hydrocarbon_degradation,sulfate_respiration                ,
553,Demequina,(Louca et al. 2016; Yi et al. 2007),non-N,aerobic_chemoheterotrophy fermentation nitrate_reduction            ,
554,Demequinaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,,
555,Denitratisoma,"(Louca et al., 2014)",non-N,aerobic_chemoheterotrophy nitrate_denitrification             ,
557,Denitrobacterium,"(Louca et al., 2014)",denitrification,DNRA,
558,Denitrovibrio,"(Graf et al., 2014; Louca et al., 2014)",nosZ arsenate_respiration DNRA            ,,
559,Dermabacter,(Louca et al. 2016),human_pathogens_all,,
560,Dermabacteraceae,(Louca et al. 2016),aerobic_chemoheterotrophy,fermentation,
561,Dermacoccaceae,(Louca et al. 2016),aerobic_chemoheterotrophy,,
562,Dermacoccus,(Louca et al. 2016),cellulolysis,urea,
563,Dermatophilaceae,(Louca et al. 2016),animal_parasites_or_symbionts,                ,
564,Dermatophilus,(Louca et al. 2016),denitrification,urea ,
565,Derxia,(Louca et al. 2016),N2_fix,,
566,Desertibacter,(Louca et al. 2016),aerobic_chemoheterotrophy,N,
567,Desulfacinum,(Louca et al. 2016),S_reduction,,
568,Desulfarculaceae,(Louca et al. 2016),S_reduction,,
569,Desulfarculales,(Louca et al. 2016),S_reduction,,
570,Desulfarculus,(Louca et al. 2016),S_reduction,,
571,Desulfatitalea,(Louca et al. 2016),fumarate_respiration,"S, Fe",
572,Desulfitispora,(Louca et al. 2016),H_ox,#REF!,
573,Desulfitobacterium,(Graf et al. 2014; Jones et al. 2008; Louca et al. 2016),norB nosZ aromatic_compound_degradation aromatic_hydrocarbon_degradation arsenate_respiration dark_hydrogen_oxidation dissimilatory sulfite reduction fermentation fumarate_respiration iron_respiration manganese_oxidation manganese_respiration nitrate_respiration,,
574,Desulfobacca,"(_Anantharaman et al., 2016; Louca et al., 2014)",N_cycle S_cycle H2_ox H2_prod C1_ox aerobic dissimilatory sulfite reduction       ,,
575,Desulfobacter,(Louca et al. 2016),S_reduction,,
576,Desulfobacteraceae,(Louca et al. 2016),S_reduction,fermentation,
577,Desulfobacterales,"(_Anantharaman et al., 2016; Louca et al., 2014)",C_cycle N_cycle S_cycle Fe_Cycle H2_ox H2_prod C1_ox aerobic sulfate_respiration         ,,
578,Desulfobacterium,(Louca et al. 2016),aromatic_hydrocarbon_degradation,dissimilatory sulfite reduction nitrate_respiration             ,
579,Desulfobacula,"(_Anantharaman et al., 2016; Louca et al., 2014)",C_cycle S_cycle H2_ox H2_prod C1_ox aerobic aromatic_hydrocarbon_degradation sulfate_respiration          ,,
580,Desulfobaculum,(Louca et al. 2016),S_reduction,fermentation,
581,Desulfobulbaceae,(Louca et al. 2016),H_ox,#REF!,
582,Desulfobulbus,"(Louca et al., 2014)",non-N,dissimilatory sulfite reduction DNRA fermentation iron_respiration sulfate_respiration thiosulfate_respiration       ,
583,Desulfocapsa,(Louca et al. 2016),S_reduction,fermentation,
584,Desulfococcus,(Louca et al. 2016),aromatic_compound_degradation,dissimilatory sulfite reduction nitrate_denitrification sulfate_respiration            ,
585,Desulfoconvexum,(Louca et al. 2016),aromatic_compound_degradation,dark_hydrogen_oxidation fermentation sulfate_respiration sulfur_respiration thiosulfate_respiration            ,
586,Desulfocurvus,(Louca et al. 2016),S_reduction,"fermentation, S",
587,Desulfofrigus,(Louca et al. 2016),S_reduction,Fe,
588,Desulfofustis,(Louca et al. 2016),S_reduction,,
589,Desulfohalobiaceae,(Louca et al. 2016),S_reduction,,
590,Desulfohalobium,(Louca et al. 2016),fermentation,,
591,Desulfohalophilus,(Louca et al. 2016),S_reduction,,
592,Desulfomaculum,(Louca et al. 2016),arsenate_respiration,nitrate_respiration                ,
593,Desulfomicrobiaceae,(Louca et al. 2016),fermentation,S ,
594,Desulfomicrobium,(Louca et al. 2016),arsenate_respiration,dissimilatory sulfite reduction sulfate_respiration sulfur_respiration            ,
595,Desulfomonile,"(Graf et al., 2014; Louca et al., 2014)",norB nosZ nitrate_reduction nitrogen_fixation sulfate_respiration thiosulfate_respiration         ,,
596,Desulfonatronaceae,(Louca et al. 2016),S_reduction,,
597,Desulfonatronovibrio,(Louca et al. 2016),H_ox,#REF!,
598,Desulfonatronum,(Louca et al. 2016),H_ox,#REF!,
599,Desulfonatronumaceae,(Louca et al. 2016),S_reduction,,
600,Desulfonauticus,(Louca et al. 2016),H_ox,#REF!,
601,Desulfopila,(Louca et al. 2016),H_ox,#REF!,
602,Desulforhabdus,(Louca et al. 2016),S_reduction,,
603,Desulforhopalus,(Louca et al. 2016),S_reduction,"DNRA, fermentation, N",
604,Desulfosalsimonas,(Louca et al. 2016),H_ox,#REF!,
605,Desulfosarcina,(Louca et al. 2016),aromatic_compound_degradation,dissimilatory sulfite reduction nitrate_denitrification             ,
606,Desulfosoma,(Louca et al. 2016),H_ox,#REF!,
