,gen,fun_consol,ref_consol
273,Caldicoprobacter,fermentation xylanolysis,FAPROTAXv1.1
274,Caldilinea,nosZ,"(Graf et al., 2014)"
275,Caldimicrobium,dark_hydrogen_oxidation sulfur_respiration thiosulfate_respiration,FAPROTAXv1.1
276,Caldimonas,manganese_oxidation,FAPROTAXv1.1
277,Calditerrivibrio,DNRA,FAPROTAXv1.1
278,Caldithrix,"H2_ox  H2_prod   aerobic, dark_hydrogen_oxidation DNRA fermentation","(Antharaman et al., 2016), FAPROTAXv1.1"
279,Caldivirga,"nirK  norB, sulfate_respiration sulfur_respiration thiosulfate_respiration","(Jones et al., 2008), FAPROTAXv1.1"
280,Caldocellum,cellulolysis xylanolysis,FAPROTAXv1.1
281,Caloramator,fermentation reductive_acetogenesis xylanolysis,FAPROTAXv1.1
282,Calymmatobacterium,human_pathogens_all,FAPROTAXv1.1
283,Caminibacter,dark_hydrogen_oxidation DNRA knallgas_bacteria sulfur_respiration,FAPROTAXv1.1
284,Campylobacter,"norB nosZ, dissimilatory sulfite reduction fumarate_respiration human_gut human_pathogens_all human_pathogens_diarrhea human_pathogens_gastroenteritis human_pathogens_meningitis human_pathogens_septicemia nitrate_reduction  nitrate_respiration nitrite_ammonification sulfur_respiration thiosulfate_respiration","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
285,Campylobacteraceae,animal_parasites_or_symbionts sulfur_respiration,FAPROTAXv1.1
286,candidate division CPR2,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
287,candidate division CPR3,aerobic,"(Antharaman et al., 2016)"
288,candidate division Kaza,aerobic,"(Antharaman et al., 2016)"
289,candidate division KSB1,H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
290,candidate division NC1,N_cycle   Fe_Cycle    C1_ox  aerobic,"(Antharaman et al., 2016)"
291,candidate division TM6,aerobic,"(Antharaman et al., 2016)"
292,candidate division WOR-1,S_cycle   H2_ox  H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
293,candidate division WOR-3,H2_ox    aerobic,"(Antharaman et al., 2016)"
294,candidate division WS6,S_cycle      aerobic,"(Antharaman et al., 2016)"
295,candidate division WWE3,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
296,candidate division Zixibacteria,N_fix  N_cycle  S_cycle  Fe_Cycle  H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
297,Candidatus Abawacabacteria,aerobic,"(Antharaman et al., 2016)"
298,Candidatus Accumulibacter,Polyphosphate-accumulating,"{Mao, Y., et al. (2015)} (Graf et al., 2014)"
299,Candidatus Adlerbacteria,aerobic,"(Antharaman et al., 2016)"
300,Candidatus Amesbacteria,S_cycle      aerobic,"(Antharaman et al., 2016)"
301,Candidatus Aminicenantes,C_fix   N_cycle  S_cycle  Fe_Cycle  H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
302,Candidatus Andersenbacteria,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
303,Candidatus Atribacteria,H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
304,Candidatus Azambacteria,N_cycle  S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
305,Candidatus babela,non-N,"(Pagnier et al., 2015)"
306,Candidatus Bathyarchaeota,C_fix    S_cycle  Fe_Cycle  H2_ox  H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
307,Candidatus Beckwithbacteria,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
308,Candidatus Berkelbacteria,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
309,Candidatus Blackburnbacteria,aerobic,"(Antharaman et al., 2016)"
310,Candidatus Brennerbacteria,aerobic,"(Antharaman et al., 2016)"
311,Candidatus Brocadia,Ammox,
312,Candidatus Buchananbacteria,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
313,Candidatus Campbellbacteria,S_cycle      aerobic,"(Antharaman et al., 2016)"
314,Candidatus Chisholmbacteria,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
315,Candidatus Coatesbacteria,H2_ox    aerobic,"(Antharaman et al., 2016)"
316,Candidatus Collierbacteria,C_fix  N_fix   S_cycle   H2_ox  H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
317,Candidatus Colwellbacteria,aerobic,"(Antharaman et al., 2016)"
318,Candidatus Curtissbacteria,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
319,Candidatus Dadabacteria,N_cycle  S_cycle  Fe_Cycle   H2_prod   aerobic,"(Antharaman et al., 2016)"
320,Candidatus Daviesbacteria,N_fix        aerobic,"(Antharaman et al., 2016)"
321,Candidatus Delongbacteria,H2_prod   aerobic,"(Antharaman et al., 2016)"
322,Candidatus Diapherotrites_phylum,varied_archaea,0
323,Candidatus Doudnabacteria,N_cycle       aerobic,"(Antharaman et al., 2016)"
324,Candidatus Edwardsbacteria,H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
325,Candidatus Eisenbacteria,N_cycle  S_cycle  Fe_Cycle   H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
326,Candidatus Falkowbacteria,C_fix    S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
327,Candidatus Firestonebacteria,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
328,Candidatus Fischerbacteria,S_cycle  Fe_Cycle  H2_ox  H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
329,Candidatus Fraserbacteria,C_fix   N_cycle  S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
330,Candidatus Giovannonibacteria,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
331,Candidatus Glassbacteria,N_cycle  S_cycle   H2_ox  H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
332,Candidatus Gottesmanbacteria,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
333,Candidatus Handelsmanbacteria,N_cycle  S_cycle  Fe_Cycle  H2_ox  H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
334,Candidatus Harrisonbacteria,aerobic,"(Antharaman et al., 2016)"
335,Candidatus Jacksonbacteria,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
336,Candidatus Jettenia,Ammox,
337,Candidatus Jorgensenbacteria,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
338,Candidatus Kaiserbacteria,N_fix  N_cycle  S_cycle    H2_prod   aerobic,"(Antharaman et al., 2016)"
339,Candidatus Kerfeldbacteria,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
340,Candidatus Komeilibacteria,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
341,Candidatus koribacter,Denitrification+,
342,Candidatus Kuenenbacteria,C_fix       H2_prod   aerobic,"(Antharaman et al., 2016)"
343,Candidatus Kuenenia,Ammox,
344,Candidatus Lambdaproteobacteria,N_cycle  S_cycle   H2_ox    aerobic,"(Antharaman et al., 2016)"
345,Candidatus Levybacteria,C_fix    S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
346,Candidatus Lindowbacteria,N_cycle  S_cycle  Fe_Cycle  H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
347,Candidatus Liptonbacteria,N_cycle       aerobic,"(Antharaman et al., 2016)"
348,Candidatus Lloydbacteria,N_cycle  S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
349,Candidatus Magasanikbacteria,N_fix  N_cycle  S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
350,Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_02_FULL_50_9b,CPR-OD1,
351,Candidatus Margulisbacteria,S_cycle   H2_ox  H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
352,Candidatus Melainabacteria,N_cycle  S_cycle    H2_prod   aerobic,"(Antharaman et al., 2016)"
353,Candidatus metachlamydia,non-N,
354,Candidatus Methylomirabilis,nirS norB,"(Graf et al., 2014)"
355,Candidatus Micrarchaeota,C_fix    S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
356,Candidatus Microthrix,nirK,"(Graf et al., 2014)"
357,Candidatus Moranbacteria,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
358,Candidatus Muproteobacteria,C_fix   N_cycle  S_cycle  Fe_Cycle  H2_ox  H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
359,Candidatus Nealsonbacteria,H2_prod   aerobic,"(Antharaman et al., 2016)"
360,Candidatus nitrosoarchaeum,Ammonia oxidation,"(Lehtovirta-Morley et al., 2011) (Graf et al., 2014) "
361,Candidatus nitrosocaldus,Ammonia oxidation,"(De la Torre et al., 2008)"
362,Candidatus Nitrosopumilus,nirK,"(Graf et al., 2014)"
363,Candidatus Nitrososphaera,Ammonia oxidation,"(Graf et al., 2014)"
364,Candidatus nitrosotalea,Ammonia oxidation,"(Lehtovirta-Morley et al., 2011)"
365,Candidatus Nitrosotenuis,Ammonia oxidation,"{Li, Y., et al. (2016)}"
366,Candidatus Nitrospira,nirK,"(Graf et al., 2014)"
367,Candidatus nitrotoga,Nitrite oxidation,"(Alawi et al., 2007)"
368,Candidatus Niyogibacteria,N_cycle  S_cycle      aerobic,"(Antharaman et al., 2016)"
369,Candidatus Nomurabacteria,N_fix  N_cycle  S_cycle    H2_prod   aerobic,"(Antharaman et al., 2016)"
370,Candidatus Omnitrophus,Magnetatactic+,"{Kolinko, S., et al. (2016)}"
371,Candidatus Pacearchaeota,C_fix  N_fix   S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
372,Candidatus Pacearchaeota_phylum,varied_archaea,0
373,Candidatus Pacebacteria,aerobic,"(Antharaman et al., 2016)"
374,Candidatus Peregrinibacteria,C_fix  N_fix   S_cycle    H2_prod   aerobic,"(Antharaman et al., 2016)"
375,Candidatus Peribacteria,N_cycle      C1_ox  aerobic,"(Antharaman et al., 2016)"
376,Candidatus Phytoplasma,non-N,
377,Candidatus planktophila,non-N,"(Jezbera et al., 2009)"
378,Candidatus Portnoybacteria,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
379,Candidatus protistobacter,non-N,"(Vannini et al., 2013)"
380,Candidatus protochlamydia,non-N,"(Collingro et al., 2005)"
381,Candidatus rhabdochlamydia,non-N,"(Kostanjsek et al., 2004)"
382,Candidatus Riflebacteria,C_fix    S_cycle    H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
383,Candidatus Roizmanbacteria,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
384,Candidatus Rokubacteria,N_fix  N_cycle  S_cycle  Fe_Cycle   H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
385,Candidatus Ryanbacteria,N_cycle  S_cycle    H2_prod   aerobic,"(Antharaman et al., 2016)"
386,Candidatus Saccharibacteria,N_cycle       aerobic,"(Antharaman et al., 2016)"
387,Candidatus Saccharimonas,Denitrification,"(Kindaichi et al., 2016)"
388,Candidatus Schekmanbacteria,N_cycle  S_cycle  Fe_Cycle   H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
389,Candidatus Shapirobacteria,aerobic,"(Antharaman et al., 2016)"
390,Candidatus solibacter,Denitrification+,"(Kindaichi et al., 2016)"
391,Candidatus Spechtbacteria,N_cycle       aerobic,"(Antharaman et al., 2016)"
392,Candidatus Staskawiczbacteria,H2_prod   aerobic,"(Antharaman et al., 2016)"
393,Candidatus Sungbacteria,N_fix  N_cycle  S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
394,Candidatus Tagabacteria,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
395,Candidatus Taylorbacteria,H2_prod   aerobic,"(Antharaman et al., 2016)"
396,Candidatus Tectomicrobia,N_cycle  S_cycle  Fe_Cycle    C1_ox  aerobic,"(Antharaman et al., 2016)"
397,Candidatus Terrybacteria,N_cycle       aerobic,"(Antharaman et al., 2016)"
398,Candidatus Uhrbacteria,N_cycle  S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
399,Candidatus Veblenbacteria,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
400,Candidatus vidania,non-N,"(Gonella et al., 2011)"
401,Candidatus Vogelbacteria,S_cycle      aerobic,"(Antharaman et al., 2016)"
402,Candidatus Wallbacteria,N_cycle     H2_prod   aerobic,"(Antharaman et al., 2016)"
403,Candidatus Wildermuthbacteria,H2_prod   aerobic,"(Antharaman et al., 2016)"
404,Candidatus Woesearchaeota,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
405,Candidatus Woesebacteria,S_cycle      aerobic,"(Antharaman et al., 2016)"
406,Candidatus Wolfebacteria,N_cycle  S_cycle      aerobic,"(Antharaman et al., 2016)"
407,Candidatus Woykebacteria,S_cycle   H2_ox  H2_prod   aerobic,"(Antharaman et al., 2016)"
408,Candidatus Yanofskybacteria,N_cycle  S_cycle   H2_ox  H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
409,Candidatus Yonathbacteria,N_cycle       aerobic,"(Antharaman et al., 2016)"
410,Candidatus Zambryskibacteria,N_cycle  S_cycle      aerobic,"(Antharaman et al., 2016)"
411,Candidatus Brocadia,Ammox,"(Gonella et al., 2011)"
412,Candidatus Koribacter,Denitrification+,
413,Candidatus Methanoregula,Methanogen,"(Br_uer et al., 2011)"
414,Candidatus Nitrosocosmicus,Ammonia oxidation,
415,Candidatus Nitrososphaera,Ammonia oxidation,
416,Candidatus Protochlamydia,non-N,"(Br_uer et al., 2011)"
417,Candidatus Rhabdochlamydia,non-N,"(Br_uer et al., 2011)"
418,Candidatus Solibacter,Denitrification+,
419,Candidatus Xiphinematobacter,non-N,"(Vandekerckhove et al., 2002)"
420,Capnocytophaga,nirK  norB  nosZ,"(Graf et al., 2014)"
421,Carboxydothermus,dark_hydrogen_oxidation dark_sulfur_oxidation DNRA fumarate_respiration iron_respiration sulfur_respiration thiosulfate_respiration,FAPROTAXv1.1
422,Cardiobacteriaceae,fermentation,FAPROTAXv1.1
423,Cardiobacterium,nirK  norB  nosZ,"(Graf et al., 2014)"
424,Carnobacteriaceae,fermentation,FAPROTAXv1.1
425,Carnobacterium,fermentation,FAPROTAXv1.1
426,Catellatospora,aerobic_chemoheterotrophy,FAPROTAXv1.1
427,Catellicoccus,mammal_gut,FAPROTAXv1.1
428,Catenococcus,dark_thiosulfate_oxidation,FAPROTAXv1.1
429,Catenulispora,nitrate_reduction,FAPROTAXv1.1
430,Catenuloplanes,ureolysis,FAPROTAXv1.1
431,Caulobacter,"non-N, aerobic_chemoheterotrophy","(MacRae and Smit, 1991) (Graf et al., 2014), FAPROTAXv1.1"
432,Caulobacterales,N_cycle  S_cycle     C1_ox  aerobic,"(Antharaman et al., 2016)"
433,Cecembia,nirK  norB  nosZ,"(Graf et al., 2014)"
434,Celeribacter,"nirK  norB  nosZ, aerobic_chemoheterotrophy aromatic_hydrocarbon_degradation fermentation nitrate_respiration ureolysis","(Graf et al., 2014), FAPROTAXv1.1"
435,Cellulomonadaceae,aerobic_chemoheterotrophy fermentation,FAPROTAXv1.1
436,Cellulomonas,"Cellulolytic+, cellulolysis chitinolysis fermentation iron_respiration nitrate_reduction  ureolysis xylanolysis","(Bagra et al., 1985) (Graf et al., 2014), FAPROTAXv1.1"
437,Cellulophaga,"norB  nosZ, nitrate_reduction  ureolysis","(Graf et al., 2014), FAPROTAXv1.1"
438,Cellulosimicrobium,cellulolysis fermentation nitrate_reduction  ureolysis,FAPROTAXv1.1
439,Cellvibrio,"nirK, aerobic_chemoheterotrophy cellulolysis nitrogen_fixation","(Graf et al., 2014), FAPROTAXv1.1"
440,Cenarchaeum,"Ammonia oxidation, aerobic_ammonia_oxidation animal_parasites_or_symbionts","(Hallam et al., 2006), FAPROTAXv1.1"
441,Cenibacterium,arsenite_oxidation_detoxification,FAPROTAXv1.1
442,Centipeda,nitrate_reduction,FAPROTAXv1.1
443,Cetia,dark_hydrogen_oxidation nitrate_respiration sulfur_respiration,FAPROTAXv1.1
444,Cetobacterium,fermentation nitrate_reduction,FAPROTAXv1.1
445,Chaetomium,nirK  norB,"(Graf et al., 2014)"
446,Chelatococcus,nirK  norB  nosZ,"(Graf et al., 2014)"
447,Chitinibacter,chitinolysis,FAPROTAXv1.1
448,Chitinilyticum,chitinolysis,FAPROTAXv1.1
449,Chitinivibrio,chitinolysis fermentation,FAPROTAXv1.1
450,Chitinolyticbacter,chitinolysis,FAPROTAXv1.1
451,Chitinophaga,"non-N, cellulolysis chitinolysis nitrate_reduction  ureolysis","(SANGKHOBOL and Skerman, 1981), FAPROTAXv1.1"
452,Chitinophagaceae,aerobic_chemoheterotrophy,FAPROTAXv1.1
453,Chlamydia,"non-N, human_pathogens_all","(Collingro et al., 2005), FAPROTAXv1.1"
454,Chlamydiae,"S_cycle   H2_ox  H2_prod   aerobic, intracellular_parasites","(Antharaman et al., 2016), FAPROTAXv1.1"
455,Chloracidobacterium,photoheterotrophy,FAPROTAXv1.1
456,Chlorobaculum,anoxygenic_photoautotrophy_S_oxidizing dark_sulfide_oxidation,FAPROTAXv1.1
457,Chlorobi,anoxygenic_photoautotrophy anoxygenic_photoautotrophy_S_oxidizing,FAPROTAXv1.1
458,Chlorobium,anoxygenic_photoautotrophy_Fe_oxidizing anoxygenic_photoautotrophy_S_oxidizing dark_iron_oxidation nitrogen_fixation,FAPROTAXv1.1
459,Chloroflexi,C_fix  N_fix  N_cycle  S_cycle  Fe_Cycle  H2_ox  H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
460,Chloroflexus,"nirK, aerobic_anoxygenic_phototrophy aerobic_chemoheterotrophy anoxygenic_photoautotrophy_S_oxidizing","(Graf et al., 2014), FAPROTAXv1.1"
461,Chloroherpeton,anoxygenic_photoautotrophy_S_oxidizing,FAPROTAXv1.1
462,chloroplast,chloroplasts,FAPROTAXv1.1
463,Chlorosi,anoxygenic_photoautotrophy_S_oxidizing,FAPROTAXv1.1
464,Chondromyces,aerobic_chemoheterotrophy,FAPROTAXv1.1
465,Christensenella,fermentation,FAPROTAXv1.1
466,Chromatiaceae,aerobic_ammonia_oxidation anoxygenic_photoautotrophy_S_oxidizing,FAPROTAXv1.1
467,Chromatiales,"S_cycle     C1_ox  aerobic, anoxygenic_photoautotrophy_S_oxidizing","(Antharaman et al., 2016), FAPROTAXv1.1"
468,Chromatium,ureolysis,FAPROTAXv1.1
469,Chromobacterium,"nirK  norB, chitinolysis invertebrate_parasites","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
470,Chromohalobacter,nitrate_reduction  ureolysis,FAPROTAXv1.1
471,Chryseobacterium,"nirK  norB, fermentation human_gut nitrate_reduction  ureolysis","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
472,Chryseolinea,aerobic_chemoheterotrophy xylanolysis,FAPROTAXv1.1
473,Chrysiogenes,arsenate_respiration DNRA nitrite_respiration,FAPROTAXv1.1
474,Chrysiogenetes,nitrate_reduction  nitrate_respiration,FAPROTAXv1.1
475,Chthoniobacter,"non-N, aerobic_chemoheterotrophy","(Sangwan et al., 2004) (Graf et al., 2014), FAPROTAXv1.1"
476,Chthoniobacteraceae,aerobic_chemoheterotrophy,FAPROTAXv1.1
477,Chthoniobacterales,animal_parasites_or_symbionts,FAPROTAXv1.1
478,Citreicella,"nosZ, dark_thiosulfate_oxidation fermentation","(Graf et al., 2014), FAPROTAXv1.1"
479,Citreimonas,aerobic_chemoheterotrophy nitrate_reduction,FAPROTAXv1.1
480,Citricoccus,ureolysis,FAPROTAXv1.1
481,Citrobacter,animal_parasites_or_symbionts arsenate_respiration fermentation human_pathogens_all nitrate_respiration,FAPROTAXv1.1
482,Citromicrobium,aerobic_anoxygenic_phototrophy fermentation,FAPROTAXv1.1
483,Clavibacter,plant_pathogen,FAPROTAXv1.1
484,Cloacibacterium,non-N,"(Allen et al., 2006)"
485,Clonothrix,methanotrophy,FAPROTAXv1.1
486,Closterium,plastic_degradation,FAPROTAXv1.1
487,Clostridiaceae,fermentation nitrogen_fixation reductive_acetogenesis sulfur_respiration,FAPROTAXv1.1
488,Clostridiales,"N_fix   S_cycle   H2_ox  H2_prod  C1_ox  aerobic, fermentation nitrogen_fixation reductive_acetogenesis sulfur_respiration","(Antharaman et al., 2016), FAPROTAXv1.1"
489,Clostridium,"Cellulolytic, aromatic_compound_degradation arsenate_respiration cellulolysis chitinolysis dark_hydrogen_oxidation dissimilatory sulfite reduction DNRA fermentation human_gut human_pathogens_all human_pathogens_diarrhea invertebrate_parasites  iron_respiration nitrate_reduction nitrate_respiration nitrite_ammonification reductive_acetogenesis sulfate_respiration ureolysis xylanolysis",", FAPROTAXv1.1"
490,Clostridiumpeptidivorans,fermentation,FAPROTAXv1.1
491,Coccidioides,nirK,"(Graf et al., 2014)"
492,Cohaesibacter,aerobic_chemoheterotrophy cellulolysis,FAPROTAXv1.1
493,Cohnella,aerobic_chemoheterotrophy cellulolysis nitrate_reduction  nitrogen_fixation xylanolysis,FAPROTAXv1.1
494,Collinsella,human_gut,FAPROTAXv1.1
495,Colwellia,"nirS norB nosZ, ureolysis","(Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
496,Comamonadaceae,aerobic_chemoheterotrophy dark_hydrogen_oxidation dark_sulfide_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation fermentation manganese_oxidation nitrate_denitrification nitrate_reduction  nitrate_respiration photoheterotrophy,FAPROTAXv1.1
497,Comamonas,"nirS, aerobic_chemoheterotrophy aromatic_hydrocarbon_degradation ligninolysis nitrate_denitrification plastic_degradation","(Jones et al., 2008), FAPROTAXv1.1"
498,Compostimonas,"Denitrification, aerobic_chemoheterotrophy nitrate_reduction","(Kim et al., 2012), FAPROTAXv1.1"
499,Conexibacter,"Denitrification, aerobic_chemoheterotrophy nitrate_reduction","{Monciardini, P., et al. (2003)}, FAPROTAXv1.1"
500,Congregibacter,aerobic_anoxygenic_phototrophy,FAPROTAXv1.1
501,Coprococcus,"non-N, human_gut","(HOLDEMAN and Moore, 1974), FAPROTAXv1.1"
502,Coprothermobacter,fermentation,FAPROTAXv1.1
503,Cor,fermentation,FAPROTAXv1.1
504,Coraliomargarita,ureolysis,FAPROTAXv1.1
505,Coriobacteriaceae,aerobic_chemoheterotrophy dark_hydrogen_oxidation fermentation,FAPROTAXv1.1
506,Corynebacterium,"non-N, aerobic_chemoheterotrophy animal_parasites_or_symbionts fermentation human_gut human_pathogens_all human_pathogens_nosocomia human_pathogens_septicemia nitrate_reduction  plastic_degradation ureolysis","(Graf et al., 2014), FAPROTAXv1.1"
507,Costertonia,aerobic_chemoheterotrophy nitrate_denitrification ureolysis,FAPROTAXv1.1
508,Couchioplanes,nitrate_reduction,FAPROTAXv1.1
509,Coxiella,"non-N, animal_parasites_or_symbionts","(Antharaman et al., 2016), FAPROTAXv1.1"
510,Coxiellaceae,human_pathogens_all intracellular_parasites invertebrate_parasites,FAPROTAXv1.1
511,Craurococcus,aerobic_anoxygenic_phototrophy nitrate_reduction,FAPROTAXv1.1
512,Crenarchaeota,dark_hydrogen_oxidation dark_sulfur_oxidation dark_thiosulfate_oxidation fermentation nitrate_respiration sulfur_respiration thiosulfate_respiration xylanolysis,FAPROTAXv1.1
513,Crenothrix,"Methanotroph, methanotrophy","(Stoecker et al., 2006), FAPROTAXv1.1"
514,Croceibacter,aerobic_chemoheterotrophy ureolysis,FAPROTAXv1.1
515,Croceitalea,aerobic_chemoheterotrophy,FAPROTAXv1.1
516,Crocinitomix,non-N,"(Bowman et al., 2003)"
517,Crocosphaera,nitrogen_fixation,FAPROTAXv1.1
518,Cronobacter,human_pathogens_all human_pathogens_meningitis,FAPROTAXv1.1
519,Crossiella,ureolysis,FAPROTAXv1.1
520,Cryobacterium,nitrate_reduction,FAPROTAXv1.1
521,Cryomorpha,ureolysis,FAPROTAXv1.1
522,Cryomorphaceae,aerobic_chemoheterotrophy fermentation nitrate_reduction,FAPROTAXv1.1
523,Cryptosorangium,ureolysis,FAPROTAXv1.1
524,Cryptosporangiaceae,aerobic_chemoheterotrophy,FAPROTAXv1.1
525,Cryptosporangium,nitrate_reduction  ureolysis,FAPROTAXv1.1
526,Cupriavidus,non-N,"(Vandamme and Coenye, 2004) (Jones et al., 2008) , (Graf et al., 2014)"
527,Curtobacterium,"non-N, plant_pathogen","(Funke et al., 2005), FAPROTAXv1.1"
528,Curvibacter,C_fix   N_cycle  S_cycle    H2_prod  C1_ox  aerobic,"(Antharaman et al., 2016)"
529,cyanobacteria,,FAPROTAXv1.1
530,Cyanobacteria,nitrogen_fixation,FAPROTAXv1.1
531,Cyclobacteriaceae,aerobic_chemoheterotrophy fermentation nitrate_reduction,FAPROTAXv1.1
532,Cyclobacterium,aerobic_chemoheterotrophy,FAPROTAXv1.1
533,Cycloclasticus,aromatic_hydrocarbon_degradation oil_bioremediation,FAPROTAXv1.1
534,Cystobacteraceae,aerobic_chemoheterotrophy,FAPROTAXv1.1
535,Cytophaga,"non-N, cellulolysis chitinolysis fermentation xylanolysis",", FAPROTAXv1.1"
536,Cytophagaceae,aerobic_chemoheterotrophy cellulolysis fermentation nitrate_reduction  ureolysis,FAPROTAXv1.1
537,Cytophagales,aerobic_chemoheterotrophy cellulolysis,FAPROTAXv1.1
538,Dactylosporangium,nitrate_reduction,FAPROTAXv1.1
539,Dechloromonas,"Denitrification, aerobic_chemoheterotrophy chlorate_reducers dark_iron_oxidation dark_sulfide_oxidation fumarate_respiration nitrate_denitrification nitrate_respiration nitrite_respiration sulfate_respiration","(Coates et al., 2001) (Jones et al., 2008) , (Graf et al., 2014), FAPROTAXv1.1"
540,Dechlorosoma,"nirS norB  nosZ, dark_iron_oxidation nitrate_denitrification","(Graf et al., 2014), FAPROTAXv1.1"
541,Deferribacter,arsenate_respiration dark_hydrogen_oxidation iron_respiration manganese_respiration nitrate_respiration sulfur_respiration,FAPROTAXv1.1
542,Deferribacteraceae,fermentation iron_respiration manganese_respiration nitrate_respiration,FAPROTAXv1.1
543,Deferribacteres,arsenate_respiration fermentation,FAPROTAXv1.1
544,Deferrisoma,iron_respiration sulfur_respiration,FAPROTAXv1.1
545,Defluviitoga,sulfur_respiration thiosulfate_respiration,FAPROTAXv1.1
546,Dehalobacter,dark_hydrogen_oxidation,FAPROTAXv1.1
547,Dehalococcoides,aromatic_compound_degradation dark_hydrogen_oxidation,FAPROTAXv1.1
548,Dehalogenimonas,dark_hydrogen_oxidation,FAPROTAXv1.1
549,Deinococcus,nitrate_reduction,FAPROTAXv1.1
550,Delftia,"non-N, chitinolysis plastic_degradation","{Wen, A., et al. (1999)}, FAPROTAXv1.1"
551,Deltaproteobacteria,"C_fix  N_fix  N_cycle  S_cycle  Fe_Cycle  H2_ox  H2_prod  C1_ox  aerobic, arsenate_respiration dark_sulfide_oxidation predatory_or_exoparasitic sulfate_respiration sulfur_respiration","(Antharaman et al., 2016), FAPROTAXv1.1"
552,Deltaproteobacterium,aromatic_hydrocarbon_degradation sulfate_respiration,FAPROTAXv1.1
553,Demequina,"non-N, aerobic_chemoheterotrophy fermentation nitrate_reduction","(Yi et al., 2007), FAPROTAXv1.1"
554,Demequinaceae,aerobic_chemoheterotrophy,FAPROTAXv1.1
555,Denitratisoma,"non-N, aerobic_chemoheterotrophy nitrate_denitrification",", FAPROTAXv1.1"
